,City_1,City_2,Avg_Price
0,Oslo OSLOslo (Gardermoen) OSL,Gdansk GDN,22.8087722943723
1,Marseille MRS,Naples NAP,21.33
2,Bologna BLQ,Stuttgart STR,28.561883930151893
3,Bremen BRE,Gdansk GDN,30.93670078825544
4,Berlin SXFBerlin (Schonefeld) SXF,Pisa PSA,34.98975250278087
5,Berlin SXFBerlin (Schonefeld) SXF,Brno BRQ FR8567,37.02648648648649
6,Gdansk GDN,Doncaster DSADoncaster-Sheffield DSA,35.38175
7,Krakow KRK,Pisa PSA,55.19455357142857
8,Genova GOA,Mikonos JMK,50.57142857142857
9,Milan MXPMilan (Malpensa) MXP,Madrid MAD U22703,46.395
10,Lyon LYS,Berlin SXFBerlin (Schonefeld) SXF U24371,52.497766830054545
11,Copenhagen CPH,Ostersund OSD U22651,52.32497759704809
12,Athens ATH,Malta MLA FR6028,55.179999999999986
13,Rome FCORome (Fiumicino) FCO,Rhodes RHO,129.00247023809527
14,Dublin DUB,Barcelona BCN,58.71376455368677
15,Dublin DUB,Nantes NTE FR1986,67.7748747587296
16,Athens ATH,Eindhoven EIN FR4307,82.65077343858192
17,Nantes NTE,Corfu CFU,89.4
18,Zadar ZAD,London LTNLondon (Luton) LTN U22014,91.01358185246828
19,Moscow VKOMoscow (Vnukovo) VKO,Berlin TXLBerlin (Tegel) TXL,117.79254829545454
20,Stavanger SVG,Krakow KRK DY1036,104.03925
21,Geneva GVA,Mikonos JMK,109.01349517143042
22,Riga RIX,Rijeka RJK,286.72111823146963
23,Eindhoven EIN,Athens ATH,74.61862100737099
24,Malta MLA,Copenhagen CPH,294.2668300653595
25,Izmir ADB,Lyon LYS,302.41666666666663
26,Catania CTA,Krakow KRK,57.49666666666667
27,Cologne CGNCologne-Bonn CGN,Riga RIX FR3024,133.815529100529
28,Nuernberg NUE,Hamburg HAM EW7055,70.28
29,Manchester MAN,Oslo TRFOslo (Torp) TRF FR3226,35.245000000000005
30,Rome FCORome (Fiumicino) FCO,Berlin TXLBerlin (Tegel) TXL,61.76
31,Rome FCORome (Fiumicino) FCO,Vienna VIE,40.75392657587659
32,East Midla EMA,Shannon SNN,46.01937455347999
33,London LTNLondon (Luton) LTN,Dortmund DTM,29.22769898168728
34,Bristol BRS,Bordeaux BOD,41.235598611111115
35,Wroclaw WRO,Dortmund DTM,32.61379141566265
36,Vienna VIE,Naples NAP,47.510033809523804
37,Milan BGYMilan (Bergamo) BGY,Goteborg GOTGoteborg (Landvetter) GOT FR4712,37.55916666666667
38,Figari FSC,Brussels CRLBrussels (Charleroi) CRL,37.980000000000004
39,Vienna VIE,London STNLondon (Stansted) STN,41.42859843467032
40,Venice VCEVenice (Marco Polo) VCE,Toulouse TLS U21742,50.795
41,Cork ORK,Gdansk GDN,51.528819380949344
42,Vienna VIE,Brussels CRLBrussels (Charleroi) CRL,52.804179924242426
43,Biarritz BIQ,Dublin DUB,53.184594657919405
44,London STNLondon (Stansted) STN,Milan BGYMilan (Bergamo) BGY FR4192,60.791084122679464
45,Rostov ROVRostov-on-Don ROV,Moscow VKOMoscow (Vnukovo) VKO,57.24831876420096
46,Bari BRI,Dublin DUB,58.04958762886598
47,Dublin DUB,Madrid MAD,58.37893156424573
48,Shannon SNN,Palma Mall PMI,61.38
